category,german,english,image_url,image_local
German Action Verbs Flashcards,schreiben,write,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/270d-1f3ff.svg,images/German Action Verbs Flashcards/270d-1f3ff.svg
German Action Verbs Flashcards,Ski fahren,to ski,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/26f7.svg,images/German Action Verbs Flashcards/26f7.svg
German Action Verbs Flashcards,Snowboard fahren,ride Snowboard,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f3c2-1f3fe.svg,images/German Action Verbs Flashcards/1f3c2-1f3fe.svg
German Action Verbs Flashcards,tanzen,dance,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f57a-1f3fb.svg,images/German Action Verbs Flashcards/1f57a-1f3fb.svg
German Animals Flashcards,der Affe,the monkey,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f435.svg,images/German Animals Flashcards/1f435.svg
German Animals Flashcards,die Ameise,the ant,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f41c.svg,images/German Animals Flashcards/1f41c.svg
German Animals Flashcards,der Biber,the beaver,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9ab.svg,images/German Animals Flashcards/1f9ab.svg
German Animals Flashcards,die Biene,the bee,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f41d.svg,images/German Animals Flashcards/1f41d.svg
German Animals Flashcards,der Bison,the bison,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9ac.svg,images/German Animals Flashcards/1f9ac.svg
German Animals Flashcards,der Bär,the bear,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f43b.svg,images/German Animals Flashcards/1f43b.svg
German Animals Flashcards,der Dachs,the badger,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9a1.svg,images/German Animals Flashcards/1f9a1.svg
German Animals Flashcards,der Delphin,the dolphin,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f42c.svg,images/German Animals Flashcards/1f42c.svg
German Animals Flashcards,der Dodo,the dodo,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9a4.svg,images/German Animals Flashcards/1f9a4.svg
German Animals Flashcards,der Drache,the dragon,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f409.svg,images/German Animals Flashcards/1f409.svg
German Animals Flashcards,das Eichhörnchen,the squirrel,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f43f.svg,images/German Animals Flashcards/1f43f.svg
German Animals Flashcards,die Eidechse,the lizard,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f98e.svg,images/German Animals Flashcards/1f98e.svg
German Animals Flashcards,das Einhorn,the unicorn,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f984.svg,images/German Animals Flashcards/1f984.svg
German Animals Flashcards,der Eisbär,the polar bear,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f43b-200d-2744-fe0f.svg,images/German Animals Flashcards/1f43b-200d-2744-fe0f.svg
German Animals Flashcards,der Elefant,the elephant,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f418.svg,images/German Animals Flashcards/1f418.svg
German Animals Flashcards,die Ente,the duck,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f986.svg,images/German Animals Flashcards/1f986.svg
German Animals Flashcards,die Eule,the owl,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f989.svg,images/German Animals Flashcards/1f989.svg
German Animals Flashcards,das Faultier,the sloth,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9a5.svg,images/German Animals Flashcards/1f9a5.svg
German Animals Flashcards,der Fisch,the fish,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f420.svg,images/German Animals Flashcards/1f420.svg
German Animals Flashcards,der Flamingo,the flamingo,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9a9.svg,images/German Animals Flashcards/1f9a9.svg
German Animals Flashcards,die Fledermaus,the bat,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f987.svg,images/German Animals Flashcards/1f987.svg
German Animals Flashcards,die Fliege,the fly,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fab0.svg,images/German Animals Flashcards/1fab0.svg
German Animals Flashcards,der Frosch,the frog,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f438.svg,images/German Animals Flashcards/1f438.svg
German Animals Flashcards,der Fuchs,the fox,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f98a.svg,images/German Animals Flashcards/1f98a.svg
German Animals Flashcards,die Garnele,the shrimp,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f990.svg,images/German Animals Flashcards/1f990.svg
German Animals Flashcards,die Giraffe,the giraffe,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f992.svg,images/German Animals Flashcards/1f992.svg
German Animals Flashcards,der Gorilla,the gorilla,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f98d.svg,images/German Animals Flashcards/1f98d.svg
German Animals Flashcards,die Grille,the cricket,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f997.svg,images/German Animals Flashcards/1f997.svg
German Animals Flashcards,der Hai,the shark,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f988.svg,images/German Animals Flashcards/1f988.svg
German Animals Flashcards,der Hamster,the hamster,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f439.svg,images/German Animals Flashcards/1f439.svg
German Animals Flashcards,der Hase,the rabbit,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f430.svg,images/German Animals Flashcards/1f430.svg
German Animals Flashcards,der Hirsch,the deer,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f98c.svg,images/German Animals Flashcards/1f98c.svg
German Animals Flashcards,das Huhn,the chicken,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f413.svg,images/German Animals Flashcards/1f413.svg
German Animals Flashcards,der Hummer,the lobster,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f99e.svg,images/German Animals Flashcards/1f99e.svg
German Animals Flashcards,der Hund,the dog,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f436.svg,images/German Animals Flashcards/1f436.svg
German Animals Flashcards,der Igel,the hedgehog,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f994.svg,images/German Animals Flashcards/1f994.svg
German Animals Flashcards,der Kalmar,the squid,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f991.svg,images/German Animals Flashcards/1f991.svg
German Animals Flashcards,das Kamel,the camel,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f42b.svg,images/German Animals Flashcards/1f42b.svg
German Animals Flashcards,die Katze,the cat,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f408.svg,images/German Animals Flashcards/1f408.svg
German Animals Flashcards,der Koalabär,the koala bear,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f428.svg,images/German Animals Flashcards/1f428.svg
German Animals Flashcards,der Krebs,the cancer,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f980.svg,images/German Animals Flashcards/1f980.svg
German Animals Flashcards,das Krokodil,the crocodile,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f40a.svg,images/German Animals Flashcards/1f40a.svg
German Animals Flashcards,die Kuh,the cow,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f42e.svg,images/German Animals Flashcards/1f42e.svg
German Animals Flashcards,der Käfer,the beetle,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fab2.svg,images/German Animals Flashcards/1fab2.svg
German Animals Flashcards,das Känguru,the kangaroo,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f998.svg,images/German Animals Flashcards/1f998.svg
German Animals Flashcards,das Lama,the llama,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f999.svg,images/German Animals Flashcards/1f999.svg
German Animals Flashcards,der Leopard,the leopard,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f406.svg,images/German Animals Flashcards/1f406.svg
German Animals Flashcards,der Löwe,the lion,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f981.svg,images/German Animals Flashcards/1f981.svg
German Animals Flashcards,der Mammut,the mammoth,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9a3.svg,images/German Animals Flashcards/1f9a3.svg
German Animals Flashcards,der Marienkäfer,the ladybug,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f41e.svg,images/German Animals Flashcards/1f41e.svg
German Animals Flashcards,die Maus,the mouse,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f42d.svg,images/German Animals Flashcards/1f42d.svg
German Animals Flashcards,die Mikrobe,the microbe,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9a0.svg,images/German Animals Flashcards/1f9a0.svg
German Animals Flashcards,der Moskito,the mosquito,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f99f.svg,images/German Animals Flashcards/1f99f.svg
German Animals Flashcards,das Nashorn,the rhinoceros,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f98f.svg,images/German Animals Flashcards/1f98f.svg
German Animals Flashcards,das Nilpferd,the hippopotamus,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f99b.svg,images/German Animals Flashcards/1f99b.svg
German Animals Flashcards,der Ochse,the ox,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f402.svg,images/German Animals Flashcards/1f402.svg
German Animals Flashcards,der Orang-Utan,the orangutan,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9a7.svg,images/German Animals Flashcards/1f9a7.svg
German Animals Flashcards,der Otter,the otter,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9a6.svg,images/German Animals Flashcards/1f9a6.svg
German Animals Flashcards,der Pandabär,the panda bear,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f43c.svg,images/German Animals Flashcards/1f43c.svg
German Animals Flashcards,der Papagei,the parrot,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f99c.svg,images/German Animals Flashcards/1f99c.svg
German Animals Flashcards,der Pfau,the peacock,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f99a.svg,images/German Animals Flashcards/1f99a.svg
German Animals Flashcards,das Pferd,the horse,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f434.svg,images/German Animals Flashcards/1f434.svg
German Animals Flashcards,der Pinguin,the penguin,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f427.svg,images/German Animals Flashcards/1f427.svg
German Animals Flashcards,der Pudel,the poodle,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f429.svg,images/German Animals Flashcards/1f429.svg
German Animals Flashcards,die Ratte,the rat,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f400.svg,images/German Animals Flashcards/1f400.svg
German Animals Flashcards,die Raupe,the caterpillar,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f41b.svg,images/German Animals Flashcards/1f41b.svg
German Animals Flashcards,das Schaf,the sheep,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f40f.svg,images/German Animals Flashcards/1f40f.svg
German Animals Flashcards,die Schildkröte,the turtle,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f422.svg,images/German Animals Flashcards/1f422.svg
German Animals Flashcards,die Schlange,the snake,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f40d.svg,images/German Animals Flashcards/1f40d.svg
German Animals Flashcards,der Schmetterling,the butterfly,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f98b.svg,images/German Animals Flashcards/1f98b.svg
German Animals Flashcards,die Schnecke,the snail,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f40c.svg,images/German Animals Flashcards/1f40c.svg
German Animals Flashcards,der Schwan,the swan,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9a2.svg,images/German Animals Flashcards/1f9a2.svg
German Animals Flashcards,die schwarze Katze,the black cat,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f408-200d-2b1b.svg,images/German Animals Flashcards/1f408-200d-2b1b.svg
German Animals Flashcards,das Schwein,the pig,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f437.svg,images/German Animals Flashcards/1f437.svg
German Animals Flashcards,der Seehund,the seal,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9ad.svg,images/German Animals Flashcards/1f9ad.svg
German Animals Flashcards,der Skorpion,the scorpion,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f982.svg,images/German Animals Flashcards/1f982.svg
German Animals Flashcards,die Spinne,the spider,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f577.svg,images/German Animals Flashcards/1f577.svg
German Animals Flashcards,das Stinktier,the skunk,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f9a8.svg,images/German Animals Flashcards/1f9a8.svg
German Animals Flashcards,der Tiger,the tiger,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f405.svg,images/German Animals Flashcards/1f405.svg
German Animals Flashcards,der Tintenfisch,the squid,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f419.svg,images/German Animals Flashcards/1f419.svg
German Animals Flashcards,der Truthahn,the turkey,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f983.svg,images/German Animals Flashcards/1f983.svg
German Animals Flashcards,der Vogel,the bird,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f426.svg,images/German Animals Flashcards/1f426.svg
German Animals Flashcards,der Wal,the whale,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f433.svg,images/German Animals Flashcards/1f433.svg
German Animals Flashcards,der Waschbär,the raccoon,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f99d.svg,images/German Animals Flashcards/1f99d.svg
German Animals Flashcards,das Wildschwein,the wild boar,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f417.svg,images/German Animals Flashcards/1f417.svg
German Animals Flashcards,der Wolf,the wolf,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f43a.svg,images/German Animals Flashcards/1f43a.svg
German Animals Flashcards,der Wurm,the worm,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fab1.svg,images/German Animals Flashcards/1fab1.svg
German Animals Flashcards,das Zebra,the zebra,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f993.svg,images/German Animals Flashcards/1f993.svg
German Animals Flashcards,die Ziege,the goat,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f410.svg,images/German Animals Flashcards/1f410.svg
German Feelings Flashcards,begeistert,enthusiastic,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f606.svg,images/German Feelings Flashcards/1f606.svg
German Feelings Flashcards,benommen,dazed,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f974.svg,images/German Feelings Flashcards/1f974.svg
German Feelings Flashcards,beschämt,ashamed,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f633.svg,images/German Feelings Flashcards/1f633.svg
German Feelings Flashcards,besorgt,worried,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f628.svg,images/German Feelings Flashcards/1f628.svg
German Feelings Flashcards,down sein,be down,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f613.svg,images/German Feelings Flashcards/1f613.svg
German Feelings Flashcards,engelhaft,angelic,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f607.svg,images/German Feelings Flashcards/1f607.svg
German Feelings Flashcards,erschöpft,exhausted,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f629.svg,images/German Feelings Flashcards/1f629.svg
German Feelings Flashcards,fad,bland,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f60f.svg,images/German Feelings Flashcards/1f60f.svg
German Feelings Flashcards,fröhlich,cheerful,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f600.svg,images/German Feelings Flashcards/1f600.svg
German Feelings Flashcards,gelassen,calm,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f60e.svg,images/German Feelings Flashcards/1f60e.svg
German Feelings Flashcards,gut,good,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f642.svg,images/German Feelings Flashcards/1f642.svg
German Feelings Flashcards,heiß,hot,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f975.svg,images/German Feelings Flashcards/1f975.svg
German Feelings Flashcards,hungrig,hungry,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f924.svg,images/German Feelings Flashcards/1f924.svg
German Feelings Flashcards,in Ordnung,in order,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f610.svg,images/German Feelings Flashcards/1f610.svg
German Feelings Flashcards,kalt,cold,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f976.svg,images/German Feelings Flashcards/1f976.svg
German Feelings Flashcards,krank,sick,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f912.svg,images/German Feelings Flashcards/1f912.svg
German Feelings Flashcards,müde,tired,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f634.svg,images/German Feelings Flashcards/1f634.svg
German Feelings Flashcards,mürrisch,grumpy,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f612.svg,images/German Feelings Flashcards/1f612.svg
German Feelings Flashcards,ratlos,perplexed,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f914.svg,images/German Feelings Flashcards/1f914.svg
German Feelings Flashcards,reich,rich,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f911.svg,images/German Feelings Flashcards/1f911.svg
German Feelings Flashcards,schläfrig,sleepy,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f971.svg,images/German Feelings Flashcards/1f971.svg
German Feelings Flashcards,schockiert,shocked,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f635.svg,images/German Feelings Flashcards/1f635.svg
German Feelings Flashcards,traurig,sad,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f622.svg,images/German Feelings Flashcards/1f622.svg
German Feelings Flashcards,unglücklich,unhappy,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/2639.svg,images/German Feelings Flashcards/2639.svg
German Feelings Flashcards,unter Tränen,with tears,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f602.svg,images/German Feelings Flashcards/1f602.svg
German Feelings Flashcards,verdächtig,suspicious,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f928.svg,images/German Feelings Flashcards/1f928.svg
German Feelings Flashcards,verletzt,injured,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f915.svg,images/German Feelings Flashcards/1f915.svg
German Feelings Flashcards,verliebt,in love,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f60d.svg,images/German Feelings Flashcards/1f60d.svg
German Feelings Flashcards,verärgert,annoyed,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f624.svg,images/German Feelings Flashcards/1f624.svg
German Feelings Flashcards,wütend,angry,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f621.svg,images/German Feelings Flashcards/1f621.svg
German Feelings Flashcards,wütend,angry,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f92c.svg,images/German Feelings Flashcards/1f92c.svg
German Feelings Flashcards,zufrieden,satisfied,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f60c.svg,images/German Feelings Flashcards/1f60c.svg
German Feelings Flashcards,ängstlich,fearful,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f631.svg,images/German Feelings Flashcards/1f631.svg
German Feelings Flashcards,übel,bad,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f922.svg,images/German Feelings Flashcards/1f922.svg
German Feelings Flashcards,überrascht,surprised,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f62f.svg,images/German Feelings Flashcards/1f62f.svg
German Food & Drinks Flashcards,die Ananas,the pineapple,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f34d.svg,images/German Food & Drinks Flashcards/1f34d.svg
German Food & Drinks Flashcards,der Apfel,the Apple,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f34e.svg,images/German Food & Drinks Flashcards/1f34e.svg
German Food & Drinks Flashcards,die Aubergine,the eggplant,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f346.svg,images/German Food & Drinks Flashcards/1f346.svg
German Food & Drinks Flashcards,die Avocado,the avocado,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f951.svg,images/German Food & Drinks Flashcards/1f951.svg
German Food & Drinks Flashcards,der Bagel,the bagel,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f96f.svg,images/German Food & Drinks Flashcards/1f96f.svg
German Food & Drinks Flashcards,das Baguette,the baguette,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f956.svg,images/German Food & Drinks Flashcards/1f956.svg
German Food & Drinks Flashcards,die Banane,the banana,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f34c.svg,images/German Food & Drinks Flashcards/1f34c.svg
German Food & Drinks Flashcards,die Birne,the pear,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f350.svg,images/German Food & Drinks Flashcards/1f350.svg
German Food & Drinks Flashcards,die Blaubeeren,the blueberries,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad0.svg,images/German Food & Drinks Flashcards/1fad0.svg
German Food & Drinks Flashcards,die Bohnen,the beans,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1fad8.svg,images/German Food & Drinks Flashcards/1fad8.svg
German Food & Drinks Flashcards,das Bonbon,the candy,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f36c.svg,images/German Food & Drinks Flashcards/1f36c.svg
German Food & Drinks Flashcards,die Brezel,the pretzel,https://cdn.jsdelivr.net/gh/jdecked/twemoji@15.0.2/assets/svg/1f968.svg,images/German Food & Drinks Flashcards/1f968.svg
